id,years_worked,victime_race,count_arrests,officer_race,officer_rank,count_allegations
20629,40,,2,White,Police Officer,2
20995,40,,2,White,Detective,2
21154,40,,3,White,Police Officer,3
21365,40,Black,5,White,Police Officer,5
21365,40,,22,White,Police Officer,22
21777,40,,2,White,Police Officer,2
21898,40,,7,White,Police Officer,7
22022,40,,2,White,Detective,2
22022,40,Hispanic,2,White,Detective,2
22022,40,,75,White,Detective,75
22024,40,,9,White,Police Officer,9
22343,40,,2,White,Police Officer,2
22415,40,Hispanic,2,White,Sergeant,2
22415,40,,8,White,Sergeant,8
22455,40,,8,White,Captain,8
22491,40,,6,White,Sergeant,6
22519,40,,4,White,Sergeant,4
23295,40,,6,White,Assistant Deputy Superintendent,6
23515,40,White,2,White,Detective,2
23515,40,,19,White,Detective,19
23962,40,,2,White,Detective,2
24605,40,,16,White,Detective,16
24987,40,,2,White,Police Officer,2
25055,40,,8,White,Police Officer,8
25096,40,Black,1,White,Captain,1
25096,40,,2,White,Captain,2
25386,40,,2,White,Police Officer,2
25514,40,,5,White,Lieutenant,5
25767,40,Black,4,White,Police Officer,4
25767,40,,10,White,Police Officer,10
26944,40,,2,White,Police Officer,2
27283,40,,6,White,Police Officer,6
27780,40,Black,3,White,Police Officer,3
27780,40,,2,White,Police Officer,2
28514,40,Black,2,White,Lieutenant,2
28514,40,,14,White,Lieutenant,14
28746,40,,1,Hispanic,Lieutenant,1
28957,40,,1,White,Police Officer,1
29317,40,,1,White,Police Officer,1
29898,40,White,1,White,Detective,1
29898,40,,12,White,Detective,12
29985,40,Black,4,White,Detective,4
29985,40,White,2,White,Detective,2
30210,40,,58,White,Field Training Officer,58
30937,40,,14,White,Police Officer,14
30941,40,Black,2,White,Police Officer,2
30941,40,,7,White,Police Officer,7
5,39,Black,1,White,Sergeant,1
5,39,,4,White,Sergeant,4
78,39,,15,Hispanic,Sergeant,15
232,39,,2,White,Sergeant,2
232,39,Hispanic,1,White,Sergeant,1
232,39,,13,White,Sergeant,13
447,39,,1,Black,Police Officer,1
539,39,Hispanic,2,White,Sergeant,2
539,39,,2,White,Sergeant,2
626,39,White,2,White,Sergeant,2
626,39,,23,White,Sergeant,23
711,39,White,2,White,Detective,2
711,39,,8,White,Detective,8
950,39,,4,White,Police Officer,4
1208,39,Black,1,White,Police Officer,1
1208,39,White,2,White,Police Officer,2
1208,39,,4,White,Police Officer,4
1466,39,,2,White,Police Officer,2
1466,39,,26,White,Police Officer,26
1534,39,,7,White,Sergeant,7
1916,39,,4,White,Detective,4
1979,39,,1,White,Lieutenant,1
2250,39,,3,White,Deputy Chief,3
2277,39,,22,White,Police Officer,22
2711,39,Black,2,White,Police Officer,2
2910,39,,2,Black,Police Officer,2
2910,39,White,2,Black,Police Officer,2
2910,39,,44,Black,Police Officer,44
3099,39,,3,Black,Police Officer,3
3267,39,,2,White,Detective,2
3267,39,,8,White,Detective,8
3330,39,Hispanic,1,White,Police Officer,1
3330,39,,7,White,Police Officer,7
3886,39,Hispanic,2,White,Police Officer,2
3886,39,,6,White,Police Officer,6
4081,39,Black,3,Black,Police Officer,3
4081,39,,26,Black,Police Officer,26
4236,39,Black,2,White,Police Officer,2
4236,39,,4,White,Police Officer,4
4367,39,,5,Black,Sergeant,5
4437,39,,23,White,Deputy Chief,23
4487,39,Black,4,Black,Sergeant,4
4487,39,,27,Black,Sergeant,27
4738,39,Hispanic,2,White,Police Officer,2
4773,39,,6,White,Police Officer,6
4910,39,,4,Black,Deputy Chief,4
5102,39,,11,White,Detective,11
5152,39,,15,White,Lieutenant,15
5157,39,,1,White,Police Officer,1
5248,39,,4,White,Captain,4
5463,39,,11,White,Sergeant,11
5869,39,Hispanic,2,White,Lieutenant,2
5869,39,,13,White,Lieutenant,13
6027,39,,3,White,Lieutenant,3
6115,39,Black,2,White,Police Officer,2
6115,39,,2,White,Police Officer,2
6462,39,,18,Hispanic,Detective,18
6730,39,,14,Hispanic,Captain,14
6995,39,,4,Black,Police Officer,4
7036,39,Black,4,White,Police Officer,4
7036,39,Hispanic,2,White,Police Officer,2
7036,39,,20,White,Police Officer,20
7131,39,Black,2,White,Police Officer,2
7131,39,,2,White,Police Officer,2
7531,39,,16,Hispanic,Commander,16
7815,39,Black,1,White,Police Officer,1
7815,39,,46,White,Police Officer,46
8309,39,,2,White,Police Officer,2
8309,39,Black,2,White,Police Officer,2
8309,39,,11,White,Police Officer,11
8483,39,,24,White,Detective,24
8629,39,,15,White,Lieutenant,15
8864,39,,13,White,Detective,13
8929,39,Black,2,Black,Police Officer,2
8929,39,,2,Black,Police Officer,2
9099,39,,2,White,Police Officer,2
9099,39,Black,2,White,Police Officer,2
9099,39,White,4,White,Police Officer,4
9099,39,,5,White,Police Officer,5
9245,39,Black,2,White,Police Officer,2
9245,39,,3,White,Police Officer,3
9270,39,,1,White,Sergeant,1
9378,39,,2,White,Police Officer,2
9395,39,,5,White,Detective,5
9600,39,,8,Hispanic,Police Officer,8
9762,39,,8,White,Sergeant,8
9995,39,,12,White,Police Officer,12
10108,39,,2,White,Captain,2
10108,39,,15,White,Captain,15
10389,39,Black,2,Black,Police Officer,2
10389,39,,28,Black,Police Officer,28
10433,39,,2,White,Detective,2
10510,39,,6,White,Police Officer,6
10635,39,,1,Black,Police Officer,1
10635,39,Black,1,Black,Police Officer,1
10635,39,,4,Black,Police Officer,4
11009,39,,7,White,Captain,7
11345,39,,16,White,Detective,16
11371,39,Black,1,White,Police Officer,1
